DataSpaceName,Status,ActivationId,ActivationName,entityName,Fieldname
,,85R4X000000GnlwUAC,RENEG_SAIDA_LEMBRETE,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GnMDUA0,NCC_CA13146,Cadastro_Cartao_de_Credito__dlm,id__c
,,,,,num_crto__c
,,,,informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
,,,,,dat_ulti_copr__c
,,,,,Dias_da_ltima_compra__c
,,,,,vlr_limi_dspz_ccor__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000GnQ0UAK,CART_DWP_LATAM_INTERNACIONAL,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,ssot__Individual__dlm,ssot__Id__c
,,,,Tabela_Visao_Propensao__dlm,Nome_Subproduto_Propensao__c
,,85R4X000000GnTTUA0,SF39359,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GnU7UAK,SF39333,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GnUHUA0,SF39293,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GnXfUAK,SF39799,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000KytfUAC,SF47186,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000Kz0qUAC,SF48719,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000Kz99UAC,RENEG_SAIDA_REPESCAGEM,Promessas_Op_Recuperacao_Credito_Cli__dlm,dat_rfrc_gera_prom__c
,,,,,dat_vcto_titl__c
,,,,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000KzaeUAC,NCC_CA0014915,Cadastro_Cartao_de_Credito__dlm,Chave_Produto__c
,,,,,id__c
,,,,informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
,,,,,Data_Corte_Fatura_Cart_o_Cr_dito__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,85R4X000000KzkFUAS,CA15133_BoasVindasAdapt_PJ,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,cod_agen_banc__c
,,,,,id__c
,,,,,int_cont_core__c
,,,,tbhf9me_info_cadl_gert_cont_pcm__dlm,nom_emai_coro_cola__c
